area,aspect_ratio,circularity,solidity,h,s,v,label
842.5,1.3035714285714286,0.22534727880395047,0.6301421091997008,8.626865671641792,129.73347547974413,109.66417910447761,0
28776.5,1.048158640226629,0.2616506471991319,0.5960212091713096,173.91892445932555,229.74604530390513,128.34162424408075,0
28657.0,1.036723163841808,0.2561437544218015,0.590543311386562,173.88685004801755,229.2458842090822,128.49814789408697,0
28538.0,1.03954802259887,0.2565990850458734,0.5901035958727073,173.87621409382103,228.95880691602946,127.93121857133015,0
33719.0,1.0336134453781514,0.27196913283860663,0.6169369962766784,173.6661410885307,229.3251868722261,140.27692128007473,0
95480.0,1.2344497607655502,0.1672268971476983,0.7085477664938833,172.58745085867992,218.7115559693772,180.01956341816677,0
91620.5,1.2137592137592137,0.18040191496729566,0.6827008338114647,172.88939093301127,219.75088426864514,180.08757494715957,0
86228.5,1.182716049382716,0.19864465806596862,0.6678064156379239,172.9541917368632,220.0687295856971,177.94475961262964,0
16539.5,1.1004016064257027,0.26623161728816425,0.6707015409570154,173.76978119455944,226.80307510348905,149.82022471910113,0
19275.0,1.0700389105058365,0.29952609045501427,0.7015468607825296,173.73545727517939,227.45345819125654,159.40984274008855,0
19598.5,1.045267489711934,0.3695204355675251,0.7808322874957668,173.36528718334588,223.28412340105342,171.49811888638072,0
17056.0,1.5314685314685315,0.2527054534394488,0.7700573389317802,172.2618433866071,223.6318382310821,134.42550266368792,0
19808.0,2.3221476510067114,0.32031500555902886,0.7879077167859984,173.19163780306778,214.68357248886687,171.87273626917366,0
17308.0,2.4651162790697674,0.3459538610580163,0.8259998091056601,173.14296225026882,215.41671854660706,166.09044088516612,0
14986.0,2.47008547008547,0.36467017197917423,0.8529554056746066,172.99954290191982,213.88592137913022,168.0018936920465,0
8750.5,2.4788732394366195,0.5137674605370512,0.9018344841801504,172.68713026007367,217.62373032704542,136.36901439892844,0
8653.0,2.5142857142857142,0.5119247496344459,0.8978469520103761,172.30598194130926,217.21975169300225,136.25349887133183,0
